size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
159,9,0.138056843,0.969153802,0.768105833,0.148730549,0.096189317,0.523185967,103.8581429,159,60575,43.51428571,90800,86.21587302,70717.45283,58.05546072
149,8,0.124985874,0.951652021,0.261061876,0.154527658,0.37344908,-0.266914862,86.00541806,149,65565,46.46507937,86175,68.91428571,72360,55.44391179
136,7,0.112746916,0.930097697,0.588851716,0.165437055,0.140327343,0.283087318,131.3492904,136,60550,42.92539683,90690,78.95396825,70554.08088,57.16655579
127,7,0.098936242,0.880651927,0.388688312,0.244176759,0.238868889,-0.094357336,113.3288422,127,63050,42.73571429,90070,71.21507937,72067.12598,53.58652668
138,7,0.10919878,0.918813245,0.218136997,0.200288197,0.31695569,-0.29910689,80.83159232,138,63275,44.0968254,82010,70.46349206,69876.37681,55.0578905
93,5,0.064238691,0.809981335,0.437013461,0.287537966,0.324010173,-0.174534678,83.26821399,93,65005,44.91746032,92390,71.37619048,74365.75269,55.5858935
149,8,0.130212815,0.948028905,0.469501849,0.135582806,0.247172277,0.086746766,80.56212664,149,63640,43.64444444,91620,73.29761905,73883.92617,53.88028657
139,7,0.110402999,0.924719268,0.409578191,0.099486483,0.244994909,0.065096799,100.2119567,139,63085,45.08888889,89095,72.86825397,70028.1295,56.15831906
154,7,0.122547094,0.949884054,0.430335231,0.163161055,0.252042403,0.015131773,83.16163421,154,62895,44.56269841,87570,75.02063492,72408.86364,55.60060812
112,6,0.09240801,0.867876885,0.533947975,0.337753563,0.214751605,-0.018557192,115.5625036,112,62210,45.87380952,87325,79.6531746,71086.02679,57.75196287
142,8,0.118644205,0.9326418,0.557366898,0.117978643,0.180051764,0.259336492,76.84887981,142,60625,45.19365079,89620,78.58730159,71924.19014,56.58542365
114,6,0.084593303,0.860010002,0.553966448,0.224355846,0.23009448,0.099516123,93.7969532,114,63180,44.62539683,86560,81.21904762,71473.85965,58.10472013
153,8,0.129133157,0.96505414,0.796121173,0.174214438,0.109869969,0.512036766,112.053762,153,60435,45.68095238,86435,91.77777778,69337.97386,59.71516755
132,7,0.10778838,0.899777726,0.599923948,0.206899385,0.19114839,0.201876173,129.4334295,132,62285,43.47142857,92475,77.87619048,72495.98485,56.59241823
167,10,0.144261233,1,0.594273661,0.066724211,0.196947924,0.330601526,156.879328,167,62200,45.34444444,92995,77.21428571,71289.5509,57.04804676
127,6,0.100116322,0.88279296,0.456452186,0.470996153,0.26244515,-0.276989117,132.1441295,127,63425,46.54761905,89960,74.10952381,70725.74803,57.28060242
154,9,0.140543356,0.975251226,0.619388781,0.134534284,0.108676548,0.376177948,140.4755273,154,59095,45.73095238,87580,83.05714286,68027.88961,58.96431148
143,7,0.110214753,0.919230435,0.267608235,0.132721057,0.345442067,-0.210554889,108.8098772,143,65895,44.01746032,89165,66.87698413,72795.38462,52.86446331
165,9,0.141947592,0.980907159,0.202472795,0.127035576,0.360953067,-0.285515848,66.77804589,165,64300,47.37619048,83225,68.73333333,72400.15152,54.04752285
149,8,0.128302121,0.955342226,0.847219062,0.125612901,0.100450958,0.621155202,106.8424072,149,61115,43.6,94500,85.96031746,71107.61745,59.32295195
163,10,0.146376338,0.993060214,0.446221513,0.099456727,0.137316443,0.209448343,138.7851474,163,58815,44.15396825,86150,76.94444444,68318.49693,56.01000584
149,8,0.122345776,0.939915746,0.790077165,0.14306782,0.072403703,0.574605642,158.8636999,149,59820,42.84126984,96355,82.0952381,70625.97315,57.27426228
149,8,0.122632319,0.946360757,1,0.122907658,0.141889788,0.735202554,74.99907565,149,62185,46.03253968,87670,111,70536.81208,67.1058059
98,5,0.069982939,0.823529083,0.369080481,0.298232142,0.252513813,-0.181665473,87.1564188,98,64825,44.77777778,85110,79.01111111,72248.92857,54.39497894
